program,rewrite_id,dataset,variant,run,total_runtime_ms,total_runtime_s,peak_rss_kb
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,14,0.539,0.000539,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,15,1.214,0.001214,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,16,0.411,0.000411,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,17,0.937,0.000937,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,18,0.886,0.000886,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,19,0.36,0.00036,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,2,1.111,0.001111,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,20,0.394,0.000394,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,21,0.43,0.00043,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,22,0.451,0.000451,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,23,0.444,0.000444,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,24,0.436,0.000436,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,25,0.436,0.000436,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,26,0.518,0.000518,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,27,0.417,0.000417,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,28,0.44,0.00044,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,29,0.395,0.000395,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,3,0.832,0.000832,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,30,0.421,0.000421,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,4,0.49,0.00049,4736
